X-axis,Y-axis
101.83,0.0
100.83899743995411,14.171996870763463
97.88527849739901,28.068151942845024
93.02633395174604,41.41799236440873
86.35673763160885,53.96167867686725
78.00630564280553,65.4550622943803
68.13756964552253,75.67443757836304
56.94261336042616,84.42089601327989
44.639333877531755,91.52419773464418
31.4672005372009,96.84608505433549
17.682593931823522,100.28297348923314
3.5538157492156848,101.76796791535452
-10.644133414545138,101.27216460535128
-24.63490662891415,98.80521380668472
-38.1461894075423,94.41513191053596
-50.91499999999998,88.18736686736939
-62.69280803241178,80.2431350397725
-73.25037186848485,70.73706186383968
-82.38220053720092,59.8541722409425
-89.91055338082455,47.80628923848721
-95.68889957462908,34.827911194852774
-99.60477018272344,21.17164747597234
-101.5819472379579,7.103301721364167
-101.58194723795789,-7.103301721364412
-99.6047701827234,-21.171647475972584
-95.68889957462899,-34.82791119485301
-89.91055338082444,-47.80628923848742
-82.38220053720077,-59.85417224094271
-73.25037186848468,-70.73706186383986
-62.69280803241163,-80.24313503977262
-50.91499999999981,-88.18736686736949
-38.146189407542096,-94.41513191053605
-24.634906628913907,-98.80521380668479
-10.644133414544871,-101.2721646053513
3.5538157492159765,-101.7679679153545
17.682593931823835,-100.28297348923309
31.467200537201222,-96.84608505433538
44.63933387753208,-91.52419773464402
56.94261336042646,-84.42089601327969
68.13756964552283,-75.67443757836278
78.0063056428058,-65.45506229437997
86.35673763160909,-53.961678676866896
93.02633395174624,-41.41799236440831
97.88527849739914,-28.068151942844565
100.83899743995417,-14.171996870762971
101.83,0.0
