X-axis,Y-axis
101.8,0.0
101.13644065848241,11.604325526857034
99.15441314472955,23.05737092394281
95.87975621850362,34.20982822933078
91.35516004078029,44.916308106559924
85.63960964221424,55.03723521697983
78.8076159630586,64.440667797743
70.94824448910889,73.00401772446247
62.163954146887605,80.6156486348876
52.569261594846324,87.17633127961174
42.28924832359204,92.60053712708996
31.45793002736965,96.81755335884662
20.216509504536894,99.77240471920565
8.711535863145896,101.42657020182197
-2.907005970798266,101.75848522990967
-14.487650536220412,100.76382278347896
-25.87942642089695,98.45554980865924
-36.93382440469524,94.86375817372586
-47.506733504373585,90.03527237557749
-57.46031968063711,84.03303911081038
-66.66482271563004,76.93530666926347
-75.00024783581806,68.83460484789514
-82.35793002736969,59.836538683373696
-88.64195065079336,50.05841172892237
-93.77038788709179,39.62769682311034
-97.67638471395587,28.68037428645741
-100.30902048929518,17.359159210000943
-101.63397477968061,5.8116409458296
-101.6339747796806,-5.811640945829981
-100.30902048929511,-17.359159210001316
-97.67638471395576,-28.68037428645777
-93.77038788709164,-39.62769682311069
-88.64195065079318,-50.05841172892271
-82.35793002736946,-59.83653868337401
-75.0002478358178,-68.8346048478954
-66.66482271562977,-76.93530666926371
-57.46031968063681,-84.03303911081059
-47.50673350437329,-90.03527237557765
-36.93382440469497,-94.86375817372596
-25.879426420896692,-98.4555498086593
-14.487650536220167,-100.76382278347899
-2.9070059707980422,-101.75848522990967
8.711535863146096,-101.42657020182196
20.21650950453707,-99.77240471920561
31.4579300273698,-96.81755335884658
42.28924832359216,-92.60053712708991
52.56926159484642,-87.17633127961169
62.16395414688766,-80.61564863488755
70.94824448910892,-73.00401772446244
78.80761596305862,-64.44066779774298
85.63960964221424,-55.037235216979816
91.35516004078028,-44.91630810655994
95.87975621850359,-34.209828229330824
99.15441314472953,-23.057370923942877
101.1364406584824,-11.604325526857124
101.8,0.0
