X-axis,Y-axis
103.67,0.0
101.40456176807363,21.55420498707711
94.70725759380844,42.1663877876682
83.8707918068508,60.93569710516069
69.36876996122284,77.04182405724146
51.835000000000015,89.78085361033276
32.0357918068508,98.59602904431857
10.836465786957634,103.1020848928289
-10.836465786957644,103.1020848928289
-32.03579180685082,98.59602904431857
-51.83500000000002,89.78085361033274
-69.36876996122284,77.04182405724146
-83.87079180685079,60.935697105160706
-94.70725759380842,42.16638778766823
-101.40456176807362,21.554204987077153
-103.67,5.87346417519166e-14
-101.40456176807365,-21.554204987077036
-94.70725759380846,-42.16638778766813
-83.87079180685086,-60.9356971051606
-69.36876996122292,-77.04182405724139
-51.83500000000013,-89.78085361033268
-32.03579180685091,-98.59602904431853
-10.836465786957715,-103.1020848928289
10.836465786957586,-103.1020848928289
32.03579180685078,-98.59602904431858
51.835000000000015,-89.78085361033276
69.36876996122285,-77.04182405724144
83.87079180685083,-60.935697105160635
94.70725759380848,-42.166387787668114
101.40456176807366,-21.554204987076986
103.67,0.0
